customerID;gender;SeniorCitizen;Partner;Dependents;PaperlessBilling;PaymentMethod;Contract;MonthlyCharges;churn;Tenure;DeviceProtection;InternetService;MultipleLines;OnlineBackup;OnlineSecurity;PhoneService;StreamingMovies;StreamingTV;TechSupport;MeanMonthlyCharge;MeanMonthlyUsage
0128-MKWSG;Female;0;No;Yes;No;Mailed check;Month-to-month;45.8;0;25.988213310334913;No;DSL;No phone service;No;Yes;No;Yes;No;Yes;47.11999999999998;2562.7338
0129-KPTWJ;Male;0;Yes;No;Yes;Electronic check;Month-to-month;94.65;0;71.98505102774185;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;No;97.9105633802816;1662.076985915493
0129-QMPDR;Male;0;Yes;Yes;Yes;Bank transfer (automatic);One year;20.5;0;44.025544672375204;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.11590909090909;1436.2022727272727
0130-SXOUN;Male;0;No;No;No;Credit card (automatic);Month-to-month;89.4;0;66.0383170085628;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;No;93.48030303030299;4218.706393939395
0133-BMFZO;Female;0;No;No;Yes;Electronic check;Month-to-month;86.25;1;2.0041479291155877;No;Fiber optic;No;Yes;Yes;Yes;No;No;Yes;86.25;6948.954
0134-XWXCE;Female;1;No;No;No;Bank transfer (automatic);One year;74.85;0;44.025544672375204;Yes;DSL;No;No;No;Yes;Yes;Yes;Yes;77.59772727272723;1488.8435909090908
0135-NMXAP;Female;0;No;No;Yes;Bank transfer (automatic);Month-to-month;89.75;1;12.024887574693526;No;Fiber optic;Yes;Yes;No;Yes;No;Yes;No;95.16666666666667;3360.189999999999
0136-IFMYD;Male;1;Yes;No;Yes;Electronic check;Two year;109.95;0;69.02811146019425;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Yes;114.44420289855063;3568.603304347824
0137-UDEUO;Female;0;No;No;No;Mailed check;Month-to-month;19.85;1;3.0226493357153124;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;19.85;1056.6483333333333
0139-IVFJG;Female;0;Yes;No;No;Electronic check;Month-to-month;90.35;0;2.0041479291155877;No;Fiber optic;No;Yes;Yes;Yes;No;Yes;No;101.19999999999999;1617.7649999999999
0141-YEAYS;Female;1;No;No;Yes;Bank transfer (automatic);Month-to-month;86.45;0;27.00671471693464;Yes;Fiber optic;Yes;Yes;No;Yes;No;No;No;91.7425925925926;5601.342703703704
0142-GVYSN;Male;0;No;No;Yes;Electronic check;Month-to-month;20.3;0;25.988213310334913;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.960000000000004;5090.201200000001
0147-ESWWR;Female;1;Yes;No;Yes;Electronic check;Month-to-month;101.25;0;38.9987474075443;No;Fiber optic;Yes;No;No;Yes;Yes;Yes;Yes;103.67894736842105;4137.993684210526
0148-DCDOS;Male;0;No;No;Yes;Bank transfer (automatic);Month-to-month;94.7;1;25.002566787819053;No;Fiber optic;Yes;No;No;Yes;Yes;Yes;No;99.25199999999997;3785.8074000000006
0151-ONTOV;Female;0;No;No;No;Mailed check;Month-to-month;70.9;1;1.0185014065997249;No;Fiber optic;No;No;No;Yes;No;No;No;71.80000000000003;2983.163
0156-FVPTA;Male;0;Yes;No;Yes;Electronic check;Month-to-month;54.2;1;22.012772336187602;No;DSL;No;No;Yes;Yes;No;No;Yes;56.86363636363638;4115.431181818182
0164-APGRB;Female;0;No;No;Yes;Electronic check;Two year;114.9;0;71.98505102774185;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;118.89859154929569;854.4733661971829
0164-XAIRP;Female;0;No;No;Yes;Bank transfer (automatic);Two year;19.55;0;23.984065381219327;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.406521739130444;684.1671739130436
0168-XZKBB;Female;0;Yes;No;Yes;Electronic check;Month-to-month;86.85;0;19.022977884556152;No;Fiber optic;Yes;No;No;Yes;No;Yes;No;91.97105263157893;493.17852631578944
0174-QRVVY;Male;0;Yes;Yes;No;Credit card (automatic);Two year;25.35;0;70.96654962114212;No internet service;No;Yes;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;26.36571428571427;1545.0862857142856
0177-PXBAT;Male;1;Yes;No;Yes;Bank transfer (automatic);Month-to-month;109.9;0;33.0191585042814;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Yes;113.11212121212127;10234.15033333333
0178-CIIKR;Female;0;No;No;No;Mailed check;Month-to-month;19.95;0;3.0226493357153124;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.516666666666666;1664.18
0178-SZBHO;Male;0;Yes;Yes;No;Electronic check;Month-to-month;87.2;0;46.98248423992279;No;Fiber optic;Yes;Yes;No;Yes;No;Yes;No;90.62826086956517;2020.6530869565217
0181-RITDD;Male;0;Yes;Yes;No;Mailed check;Two year;108.15;0;61.99716626624777;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;114.41065573770484;1597.6806885245903
0186-CAERR;Male;0;No;No;Yes;Bank transfer (automatic);One year;116.3;0;70.96654962114212;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;121.86428571428577;1466.6371428571429
0187-QSXOE;Male;1;Yes;No;Yes;Electronic check;Month-to-month;89.0;0;7.030945193946487;No;Fiber optic;No;No;No;Yes;Yes;Yes;No;93.65714285714286;6549.735142857143
0187-WZNAB;Female;0;Yes;Yes;No;Mailed check;Month-to-month;74.4;0;27.00671471693464;No;Fiber optic;No;No;Yes;Yes;No;No;No;77.09259259259262;707.7108518518518
0188-GWFLE;Male;0;No;No;No;Mailed check;Month-to-month;20.05;0;2.0041479291155877;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.4;1766.0860000000002
0191-EQUUH;Female;0;No;Yes;No;Bank transfer (automatic);Two year;35.05;0;25.002566787819053;No;DSL;No phone service;No;Yes;No;No;No;Yes;36.87;2941.9856
0191-ZHSKZ;Male;1;No;No;Yes;Electronic check;Month-to-month;74.75;0;30.029364052649953;No;DSL;No;Yes;Yes;Yes;Yes;Yes;No;80.26333333333332;951.8473333333332
0193-ESZXP;Female;1;Yes;No;Yes;Credit card (automatic);One year;105.5;1;58.05458017618432;No;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Yes;109.02068965517238;7610.498310344828
0195-IESCP;Male;0;Yes;No;Yes;Electronic check;Month-to-month;85.25;1;10.020739645577939;No;Fiber optic;Yes;No;No;Yes;Yes;No;No;90.09;2768.8920000000003
0196-JTUQI;Female;0;No;No;Yes;Credit card (automatic);Month-to-month;75.2;0;9.035093123062076;No;Fiber optic;Yes;No;No;Yes;No;No;No;76.97777777777779;3431.4897777777774
0196-VULGZ;Female;1;Yes;No;Yes;Electronic check;Month-to-month;84.35;1;6.012443787346763;No;Fiber optic;Yes;No;No;Yes;Yes;No;No;94.83333333333333;7090.316666666667
0197-PNKNK;Female;0;Yes;Yes;No;Bank transfer (automatic);One year;84.45;0;69.02811146019425;Yes;Fiber optic;Yes;No;Yes;Yes;No;No;No;89.9326086956521;313.0742463768117
0201-MIBOL;Female;1;No;No;Yes;Bank transfer (automatic);Two year;102.4;0;66.0383170085628;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;No;107.64545454545446;2290.8427878787875
0201-OAMXR;Female;0;No;No;No;Credit card (automatic);One year;115.55;1;70.01375798271012;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;120.15714285714296;3330.5617142857154
0203-HHYIJ;Male;0;No;No;No;Bank transfer (automatic);One year;25.3;1;25.002566787819053;No internet service;No;Yes;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;26.507999999999996;0.0
0206-OYVOC;Female;0;Yes;Yes;Yes;Mailed check;Two year;19.25;0;46.029692601490794;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.33913043478261;945.8434782608691
0206-TBWLC;Female;0;Yes;No;Yes;Mailed check;One year;114.65;0;54.04628431795314;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Yes;120.2166666666666;2475.679296296296
0207-MDKNV;Female;0;No;No;No;Electronic check;Month-to-month;105.1;1;15.014682026324977;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Yes;108.68666666666665;482.30933333333337
0208-BPQEJ;Female;0;Yes;Yes;No;Bank transfer (automatic);Month-to-month;19.4;0;11.992032690609664;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.10909090909091;30.30363636363637
0212-ISBBF;Female;0;No;No;Yes;Electronic check;Month-to-month;50.35;0;22.045627220271463;No;DSL;No phone service;Yes;No;No;Yes;Yes;No;52.459090909090904;1388.6636363636362
0214-JHPFW;Female;0;Yes;No;No;Bank transfer (automatic);Two year;57.8;0;70.04661286679398;Yes;DSL;No phone service;Yes;No;No;Yes;Yes;Yes;60.2628571428572;487.6368571428572
0215-BQKGS;Male;0;No;No;Yes;Credit card (automatic);Month-to-month;84.3;0;30.029364052649953;Yes;Fiber optic;No;Yes;Yes;Yes;No;No;No;88.21000000000002;4074.188666666666
0218-QNVAS;Male;0;Yes;Yes;No;Bank transfer (automatic);One year;100.55;0;70.96654962114212;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;No;106.09285714285724;803.2322857142857
0219-QAERP;Male;0;Yes;No;No;Credit card (automatic);One year;19.8;0;30.029364052649953;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;21.216666666666672;2697.411
0219-YTZUE;Male;0;Yes;Yes;Yes;Bank transfer (automatic);Month-to-month;84.8;1;4.041150742315037;Yes;Fiber optic;Yes;Yes;No;Yes;No;No;No;86.675;3023.1840000000007
0220-EBGCE;Male;0;No;No;Yes;Electronic check;Month-to-month;85.85;1;2.0041479291155877;Yes;Fiber optic;No;No;No;Yes;Yes;No;No;85.85;1054.6660000000002
0221-NAUXK;Male;0;No;Yes;Yes;Bank transfer (automatic);One year;19.95;0;10.0535945296618;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.449999999999996;239.154
0221-WMXNQ;Male;1;No;No;No;Electronic check;Month-to-month;75.35;0;4.008295858231175;No;Fiber optic;No;No;Yes;Yes;No;No;No;79.69999999999999;6975.567500000001
0222-CNVPT;Male;1;No;No;Yes;Credit card (automatic);Month-to-month;48.8;0;52.009281504753694;No;DSL;No phone service;No;Yes;No;Yes;Yes;No;51.0346153846154;3349.620653846155
0224-HJAPT;Male;0;No;No;No;Electronic check;Month-to-month;47.15;1;4.9610874966631755;No;DSL;Yes;No;No;Yes;No;No;No;48.325;1431.9935000000003
0224-NIJLP;Male;0;Yes;Yes;No;Mailed check;Two year;20.15;0;8.049446600546213;No internet service;No;No;No internet service;No internet service;Yes;No internet service;No internet service;No internet service;20.65;442.13775
0224-RLWWD;Female;1;No;No;Yes;Electronic check;Month-to-month;44.3;0;2.0041479291155877;No;DSL;No;No;No;Yes;No;No;No;44.3;4278.366999999998
0225-ZORZP;Male;0;No;No;No;Electronic check;Month-to-month;84.3;0;3.0226493357153124;No;Fiber optic;No;Yes;No;Yes;Yes;No;No;84.46666666666665;4372.182
0228-MAUWC;Male;0;No;No;No;Electronic check;Month-to-month;59.55;0;19.022977884556152;Yes;DSL;Yes;No;No;Yes;No;No;Yes;63.0078947368421;1732.36752631579
0229-LFJAF;Male;0;No;No;No;Bank transfer (automatic);Two year;69.65;0;71.98505102774185;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Yes;72.73873239436618;1191.7534225352113
0230-UBYPQ;Male;1;Yes;No;No;Bank transfer (automatic);One year;36.1;0;63.01566767284749;No;DSL;No phone service;No;Yes;No;No;No;Yes;37.720634920634886;3058.822333333335
0230-WEQUW;Male;0;Yes;No;Yes;Bank transfer (automatic);Two year;56.6;0;66.0383170085628;Yes;DSL;No phone service;Yes;Yes;No;No;Yes;Yes;59.57121212121209;1847.6950303030308
0231-LXVAP;Male;0;No;No;Yes;Electronic check;Month-to-month;75.9;1;1.0185014065997249;No;Fiber optic;No;No;No;Yes;No;No;Yes;85.9;6123.428000000001
0233-FTHAV;Female;0;No;No;Yes;Bank transfer (automatic);One year;79.2;0;59.99301833713218;Yes;Fiber optic;Yes;No;No;Yes;No;No;No;82.75932203389824;840.2637796610169
0234-TEVTT;Female;0;Yes;Yes;No;Credit card (automatic);One year;45.0;0;48.000985646522516;Yes;DSL;No phone service;No;Yes;No;Yes;No;No;47.375;682.0891666666666
0235-KGSLC;Female;0;No;No;Yes;Credit card (automatic);Month-to-month;85.55;1;1.0185014065997249;Yes;Fiber optic;No;No;No;Yes;No;Yes;No;85.55;1714.6350000000002
