customerID;gender;SeniorCitizen;Partner;Dependents;PaperlessBilling;PaymentMethod;contractID;Contract;MonthlyCharges;StartDate;EndDate;churn
0078-XZMHT;Male;0;Yes;No;Yes;Bank transfer (automatic);JTAdGyCuAe;Two year;85.15;2014-01-01;;0
0080-EMYVY;Female;0;No;No;No;Credit card (automatic);KkyZXvhMWT;One year;51.45;2018-11-01;;0
0080-OROZO;Female;0;No;No;Yes;Electronic check;Fr4pzAqmbm;One year;99.25;2017-02-01;;0
0082-LDZUE;Male;0;No;No;Yes;Mailed check;Kz4E96ToaA;Month-to-month;44.3;2019-12-01;;0
0082-OQIQY;Male;0;No;No;Yes;Electronic check;5iPUUtYGaB;Month-to-month;94.2;2017-08-01;;0
0083-PIVIK;Male;0;No;No;No;Electronic check;KGGqU8sUix;One year;81.25;2014-09-01;;0
0089-IIQKO;Female;0;Yes;Yes;Yes;Credit card (automatic);EvgzCiWztS;Month-to-month;99.95;2016-10-01;;0
0093-EXYQL;Female;1;No;No;Yes;Electronic check;FAZuEAV8fc;Month-to-month;91.55;2016-09-01;;0
0093-XWZFY;Male;0;No;No;Yes;Credit card (automatic);CVwRDwfKYV;Month-to-month;104.5;2017-03-01;2020-07-01;1
0094-OIFMO;Female;1;No;No;Yes;Electronic check;34kMTWHw29;Month-to-month;95.0;2019-05-01;2020-04-01;1
0096-BXERS;Female;0;Yes;No;No;Electronic check;EFD3dKNJKe;Month-to-month;50.35;2019-07-01;;0
0096-FCPUF;Male;0;No;No;Yes;Mailed check;3csamE23Nm;Month-to-month;64.5;2017-07-01;;0
0098-BOWSO;Male;0;No;No;Yes;Electronic check;373akEPjH7;Month-to-month;19.4;2017-10-01;;0
0100-DUVFC;Male;1;Yes;No;Yes;Electronic check;FHyVzBftUp;One year;104.8;2014-03-01;;0
0103-CSITQ;Female;0;Yes;No;Yes;Bank transfer (automatic);7HSDsZRyGA;One year;109.4;2015-04-01;;0
0104-PPXDV;Male;0;Yes;No;No;Credit card (automatic);krGz374U7T;One year;50.3;2015-03-01;;0
0106-GHRQR;Male;0;No;No;Yes;Bank transfer (automatic);FENCRPU4Qn;Month-to-month;71.4;2018-09-01;;0
0106-UGRDO;Female;0;Yes;No;Yes;Electronic check;Jr2hhfUDiA;Two year;116.0;2014-04-01;;0
0107-WESLM;Male;0;No;No;Yes;Electronic check;FZf6NXFAda;Month-to-month;19.85;2020-09-01;2020-10-01;1
0107-YHINA;Male;0;No;Yes;Yes;Electronic check;HoRX8A6doA;Month-to-month;99.75;2020-01-01;2020-02-01;1
0111-KLBQG;Male;1;Yes;Yes;Yes;Mailed check;Ju2NBPzDUd;Month-to-month;93.95;2017-05-01;;0
0112-QAWRZ;Male;0;Yes;Yes;Yes;Bank transfer (automatic);5SUM64eQF6;Month-to-month;90.8;2018-09-01;;0
0112-QWPNC;Male;0;Yes;No;No;Electronic check;KNFDFKq3Gw;One year;84.35;2016-09-01;2020-10-01;1
0114-IGABW;Female;0;Yes;No;No;Bank transfer (automatic);GZ7a35fbgd;Two year;58.25;2014-02-01;;0
0114-PEGZZ;Female;0;No;No;No;Electronic check;57dPGXqVb8;Month-to-month;107.55;2017-04-01;;0
0114-RSRRW;Female;0;Yes;No;Yes;Bank transfer (automatic);EqvsDofeWd;Month-to-month;19.95;2019-03-01;;0
0115-TFERT;Male;0;Yes;No;Yes;Electronic check;KZwyKyJeKz;Month-to-month;111.2;2019-03-01;2020-12-01;1
0117-LFRMW;Male;0;Yes;Yes;No;Bank transfer (automatic);5wCXKppRbj;Month-to-month;40.2;2017-09-01;2020-10-01;1
0118-JPNOY;Female;1;No;No;Yes;Credit card (automatic);EqzfK2hxZK;Month-to-month;85.8;2017-11-01;;0
0121-SNYRK;Male;0;No;No;Yes;Mailed check;HgrvaWLoAC;One year;35.4;2015-11-01;;0
0122-OAHPZ;Female;0;No;No;Yes;Electronic check;6vCMNWscZd;Month-to-month;73.85;2019-12-01;2020-07-01;1
0123-CRBRT;Female;0;Yes;Yes;No;Mailed check;4P2jy95eEj;Two year;88.1;2014-12-01;;0
0125-LZQXK;Male;0;No;No;Yes;Electronic check;Bnf486zjGa;Month-to-month;101.35;2019-01-01;2020-04-01;1
0128-MKWSG;Female;0;No;Yes;No;Mailed check;D7kSDjFspu;Month-to-month;45.8;2017-11-01;;0
0129-KPTWJ;Male;0;Yes;No;Yes;Electronic check;3qKtrEKJbd;Month-to-month;94.65;2014-01-01;;0
0129-QMPDR;Male;0;Yes;Yes;Yes;Bank transfer (automatic);HyxytXVkTA;One year;20.5;2016-05-01;;0
0130-SXOUN;Male;0;No;No;No;Credit card (automatic);AwfxivtLhS;Month-to-month;89.4;2014-07-01;;0
0133-BMFZO;Female;0;No;No;Yes;Electronic check;7MUubD3KJK;Month-to-month;86.25;2020-08-01;2020-10-01;1
0134-XWXCE;Female;1;No;No;No;Bank transfer (automatic);3dddAGvMkp;One year;74.85;2016-05-01;;0
0135-NMXAP;Female;0;No;No;Yes;Bank transfer (automatic);ANfGuaeqht;Month-to-month;89.75;2019-07-01;2020-07-01;1
0136-IFMYD;Male;1;Yes;No;Yes;Electronic check;5B4NSzScxj;Two year;109.95;2014-04-01;;0
0137-OCGAB;Female;0;No;No;Yes;Mailed check;C8arp3A5at;Month-to-month;80.2;2020-02-01;2020-03-01;1
0137-UDEUO;Female;0;No;No;No;Mailed check;DVnDdqgHNo;Month-to-month;19.85;2019-11-01;2020-02-01;1
0139-IVFJG;Female;0;Yes;No;No;Electronic check;DdMPKJ9bWh;Month-to-month;90.35;2019-11-01;;0
0141-YEAYS;Female;1;No;No;Yes;Bank transfer (automatic);5mtCC4EaYR;Month-to-month;86.45;2017-10-01;;0
0142-GVYSN;Male;0;No;No;Yes;Electronic check;937kKnAgic;Month-to-month;20.3;2017-11-01;;0
0147-ESWWR;Female;1;Yes;No;Yes;Electronic check;KVcfq3SawH;Month-to-month;101.25;2016-10-01;;0
0148-DCDOS;Male;0;No;No;Yes;Bank transfer (automatic);67nZKtwC6Q;Month-to-month;94.7;2018-04-01;2020-05-01;1
0151-ONTOV;Female;0;No;No;No;Mailed check;FTfmXxTgmh;Month-to-month;70.9;2020-01-01;2020-02-01;1
0156-FVPTA;Male;0;Yes;No;Yes;Electronic check;BHEmDC3J5T;Month-to-month;54.2;2018-06-01;2020-04-01;1
0164-APGRB;Female;0;No;No;Yes;Electronic check;jVMdbVWWbf;Two year;114.9;2014-01-01;;0
0164-XAIRP;Female;0;No;No;Yes;Bank transfer (automatic);7UX9KkbmHj;Two year;19.55;2018-01-01;;0
0168-XZKBB;Female;0;Yes;No;Yes;Electronic check;HrUf9V5ccC;Month-to-month;86.85;2018-06-01;;0
0174-QRVVY;Male;0;Yes;Yes;No;Credit card (automatic);6kERZPkFVW;Two year;25.35;2014-02-01;;0
0177-PXBAT;Male;1;Yes;No;Yes;Bank transfer (automatic);GDbpPEFUxM;Month-to-month;109.9;2017-04-01;;0
0178-CIIKR;Female;0;No;No;No;Mailed check;EHCER5fqNh;Month-to-month;19.95;2019-10-01;;0
0178-SZBHO;Male;0;Yes;Yes;No;Electronic check;FT5AcSE4UK;Month-to-month;87.2;2016-02-01;;0
0181-RITDD;Male;0;Yes;Yes;No;Mailed check;KSjFbSYxfz;Two year;108.15;2014-11-01;;0
0186-CAERR;Male;0;No;No;Yes;Bank transfer (automatic);8khRtZJZtg;One year;116.3;2014-02-01;;0
0187-QSXOE;Male;1;Yes;No;Yes;Electronic check;6VWwQccTvZ;Month-to-month;89.0;2019-06-01;;0
0187-WZNAB;Female;0;Yes;Yes;No;Mailed check;9EhA2MoWHM;Month-to-month;74.4;2017-10-01;;0
0188-GWFLE;Male;0;No;No;No;Mailed check;6GMZpmaAE3;Month-to-month;20.05;2019-11-01;;0
0191-EQUUH;Female;0;No;Yes;No;Bank transfer (automatic);369dz55JrP;Two year;35.05;2017-12-01;;0
0191-ZHSKZ;Male;1;No;No;Yes;Electronic check;G2hB2KNvpp;Month-to-month;74.75;2017-07-01;;0
0193-ESZXP;Female;1;Yes;No;Yes;Credit card (automatic);A4RUT2qFnE;One year;105.5;2015-03-01;2020-01-01;1
0195-IESCP;Male;0;Yes;No;Yes;Electronic check;Dbvm4hzpxW;Month-to-month;85.25;2019-05-01;2020-03-01;1
0196-JTUQI;Female;0;No;No;Yes;Credit card (automatic);9PGA3mqVmm;Month-to-month;75.2;2019-04-01;;0
0196-VULGZ;Female;1;Yes;No;Yes;Electronic check;DynNfin2pJ;Month-to-month;84.35;2020-04-01;2020-10-01;1
0197-PNKNK;Female;0;Yes;Yes;No;Bank transfer (automatic);FTypsR23su;One year;84.45;2014-04-01;;0
0201-MIBOL;Female;1;No;No;Yes;Bank transfer (automatic);GV5abDz7ep;Two year;102.4;2014-07-01;;0
0201-OAMXR;Female;0;No;No;No;Credit card (automatic);KMvvofbpXU;One year;115.55;2014-10-01;2020-08-01;1
0203-HHYIJ;Male;0;No;No;No;Bank transfer (automatic);GgJDCDVdBa;One year;25.3;2018-09-01;2020-10-01;1
0206-OYVOC;Female;0;Yes;Yes;Yes;Mailed check;9q5smAr77N;Two year;19.25;2016-03-01;;0
0206-TBWLC;Female;0;Yes;No;Yes;Mailed check;5cD6Fjz6RC;One year;114.65;2015-07-01;;0
0207-MDKNV;Female;0;No;No;No;Electronic check;Kj5NGCq68q;Month-to-month;105.1;2019-09-01;2020-12-01;1
0208-BPQEJ;Female;0;Yes;Yes;No;Bank transfer (automatic);G5jbvekJFT;Month-to-month;19.4;2019-01-01;;0
0212-ISBBF;Female;0;No;No;Yes;Electronic check;3EnXFL7aWG;Month-to-month;50.35;2018-03-01;;0
0214-JHPFW;Female;0;Yes;No;No;Bank transfer (automatic);AJa2o6tmzq;Two year;57.8;2014-03-01;;0
0215-BQKGS;Male;0;No;No;Yes;Credit card (automatic);BMWk8Usw4d;Month-to-month;84.3;2017-07-01;;0
0218-QNVAS;Male;0;Yes;Yes;No;Bank transfer (automatic);JCvfRH8c6d;One year;100.55;2014-02-01;;0
0219-QAERP;Male;0;Yes;No;No;Credit card (automatic);4cwbrDrVw9;One year;19.8;2017-07-01;;0
0219-YTZUE;Male;0;Yes;Yes;Yes;Bank transfer (automatic);3HCHcA2DNA;Month-to-month;84.8;2020-07-01;2020-11-01;1
0220-EBGCE;Male;0;No;No;Yes;Electronic check;Ey3t7HAQip;Month-to-month;85.85;2019-11-01;2020-01-01;1
0221-NAUXK;Male;0;No;Yes;Yes;Bank transfer (automatic);Hn5B7vkBvx;One year;19.95;2019-03-01;;0
0221-WMXNQ;Male;1;No;No;No;Electronic check;BEbm6oCCRw;Month-to-month;75.35;2019-09-01;;0
0222-CNVPT;Male;1;No;No;Yes;Credit card (automatic);Hj2MtLewdb;Month-to-month;48.8;2015-09-01;;0
0224-HJAPT;Male;0;No;No;No;Electronic check;9nYwWZz3CH;Month-to-month;47.15;2020-02-01;2020-07-01;1
0224-NIJLP;Male;0;Yes;Yes;No;Mailed check;9AAnQ39S8C;Two year;20.15;2019-05-01;;0
0224-RLWWD;Female;1;No;No;Yes;Electronic check;Jb37WBbpVY;Month-to-month;44.3;2019-11-01;;0
0225-ZORZP;Male;0;No;No;No;Electronic check;JN9x4UFbnR;Month-to-month;84.3;2019-10-01;;0
0228-MAUWC;Male;0;No;No;No;Electronic check;BbH8Lutxkf;Month-to-month;59.55;2018-06-01;;0
0229-LFJAF;Male;0;No;No;No;Bank transfer (automatic);Jk7K35KuJ4;Two year;69.65;2014-01-01;;0
0230-UBYPQ;Male;1;Yes;No;No;Bank transfer (automatic);Few6E2Zt3E;One year;36.1;2014-10-01;;0
0230-WEQUW;Male;0;Yes;No;Yes;Bank transfer (automatic);KHZh9cas2x;Two year;56.6;2014-07-01;;0
0231-LXVAP;Male;0;No;No;Yes;Electronic check;Abg25Zmfag;Month-to-month;75.9;2020-03-01;2020-04-01;1
0233-FTHAV;Female;0;No;No;Yes;Bank transfer (automatic);GYND7RUUaK;One year;79.2;2015-01-01;;0
0234-TEVTT;Female;0;Yes;Yes;No;Credit card (automatic);8b3vzPsg8s;One year;45.0;2016-01-01;;0
0235-KGSLC;Female;0;No;No;Yes;Credit card (automatic);7WTtYSHzCC;Month-to-month;85.55;2020-05-01;2020-06-01;1
0236-HFWSV;Male;0;No;No;Yes;Electronic check;ETxL3qcLwy;Month-to-month;93.35;2019-05-01;2020-08-01;1
0237-YFUTL;Female;0;Yes;No;Yes;Bank transfer (automatic);7ae78KHc2R;Month-to-month;109.65;2015-11-01;;0
0238-WHBIQ;Male;0;Yes;Yes;No;Credit card (automatic);Ha3LmFKZWQ;Two year;89.7;2014-01-01;;0
0239-OXEXL;Female;0;No;No;No;Mailed check;FgGofBzySc;Month-to-month;84.25;2016-03-01;;0
0244-LGNFY;Female;0;Yes;Yes;No;Bank transfer (automatic);CTcjADzD9Y;Two year;92.65;2014-01-01;;0
0247-SLUJI;Male;0;Yes;Yes;No;Mailed check;98D2UAcDan;Month-to-month;19.7;2019-12-01;;0
0248-IPDFW;Female;0;No;No;Yes;Electronic check;CZm9jauTUQ;Month-to-month;50.1;2019-12-01;;0
0248-PGHBZ;Female;1;No;No;Yes;Bank transfer (automatic);HuQCV74KFm;Two year;92.45;2014-06-01;;0
0253-ZTEOB;Female;0;Yes;Yes;No;Electronic check;GGiXGehveV;Two year;79.65;2016-01-01;;0
0254-FNMCI;Female;0;No;No;Yes;Electronic check;K8mnYsnbAv;Two year;109.9;2014-01-01;;0
0254-KCJGT;Male;0;Yes;No;Yes;Credit card (automatic);7mWKThxMNC;One year;81.4;2015-09-01;;0
0254-WWRKD;Female;0;Yes;Yes;No;Credit card (automatic);FXUjZ8nrW2;One year;50.55;2014-06-01;;0
0256-LTHVJ;Female;0;Yes;Yes;Yes;Electronic check;7ghUrM3Zdx;Month-to-month;81.05;2018-01-01;2020-05-01;1
0257-KXZGU;Female;0;Yes;Yes;No;Bank transfer (automatic);3XKzqTWg7s;Month-to-month;62.45;2017-05-01;;0
0257-ZESQC;Female;1;Yes;No;Yes;Bank transfer (automatic);C3iEmyWMD2;Month-to-month;75.2;2018-02-01;2020-05-01;1
0258-NOKBL;Male;0;No;No;No;Electronic check;cN3fxPjWiT;Month-to-month;90.4;2019-10-01;;0
0259-GBZSH;Male;0;No;No;Yes;Electronic check;BANAwuqjV6;Month-to-month;85.65;2019-12-01;2020-02-01;1
0260-ZDLGK;Female;0;No;Yes;Yes;Mailed check;KafkhNSL5r;Month-to-month;72.9;2019-04-01;2020-01-01;1
0263-FJTQO;Male;0;Yes;Yes;Yes;Credit card (automatic);Dq8RRTZufv;Two year;70.5;2015-11-01;;0
0264-CNITK;Female;0;Yes;Yes;No;Bank transfer (automatic);7ji98ExXSW;Two year;20.1;2014-02-01;;0
0265-EDXBD;Male;1;Yes;No;Yes;Electronic check;8hvwYAbcSJ;Month-to-month;74.9;2018-03-01;2020-11-01;1
0265-PSUAE;Female;0;Yes;Yes;No;Bank transfer (automatic);GtptwmFo6i;Month-to-month;100.7;2018-09-01;;0
0266-CLZKZ;Female;0;Yes;Yes;Yes;Bank transfer (automatic);AWNvMfZquk;Two year;105.65;2014-06-01;;0
0266-GMEAO;Male;0;Yes;Yes;Yes;Credit card (automatic);JuS3jVLpCJ;Two year;114.3;2014-01-01;;0
0268-QKIWO;Female;0;No;No;No;Electronic check;B4oqWgJto4;Month-to-month;19.75;2020-05-01;2020-08-01;1
0269-XFESX;Male;0;Yes;Yes;No;Mailed check;5LBaPN6fUC;One year;24.35;2018-02-01;;0
0270-THENM;Male;0;Yes;Yes;No;Bank transfer (automatic);iF5gVy6tg6;Two year;69.85;2014-01-01;;0
0274-JKUJR;Male;0;Yes;Yes;No;Mailed check;3w4qeiH9y8;Month-to-month;58.85;2019-06-01;;0
0277-BKSQP;Male;0;Yes;Yes;Yes;Electronic check;FDYn4H49u2;Month-to-month;54.4;2019-05-01;;0
0277-ORXQS;Male;0;Yes;Yes;No;Bank transfer (automatic);CKku3a8uoo;Two year;50.55;2014-07-01;;0
0278-YXOOG;Male;0;No;No;No;Mailed check;4hJXJoYpSP;Month-to-month;21.05;2020-07-01;2020-12-01;1
0280-XJGEX;Male;0;No;No;Yes;Bank transfer (automatic);6mGKj8sNUB;Month-to-month;103.7;2016-09-01;2020-10-01;1
0281-CNTZX;Male;0;Yes;No;Yes;Bank transfer (automatic);4QoPyKHpUj;Two year;19.95;2014-10-01;;0
0282-NVSJS;Female;1;Yes;Yes;Yes;Mailed check;BXUTapa2io;Month-to-month;29.3;2019-01-01;;0
0285-INHLN;Male;0;Yes;Yes;Yes;Credit card (automatic);8FFeRd9mMz;Month-to-month;54.75;2017-10-01;;0
0289-IVARM;Female;0;No;No;No;Electronic check;3jDQGN8r6h;Month-to-month;60.55;2017-02-01;;0
0292-WEGCH;Female;0;Yes;Yes;Yes;Electronic check;JLfH4cZZBn;Month-to-month;86.2;2015-07-01;;0
0295-PPHDO;Male;0;No;No;Yes;Electronic check;9umkPkrkvH;Month-to-month;95.45;2020-03-01;2020-04-01;1
0295-QVKPB;Male;0;No;No;Yes;Credit card (automatic);FpRqW7oPv5;Month-to-month;63.95;2019-08-01;;0
0297-RBCSG;Male;0;No;No;Yes;Bank transfer (automatic);E2G2H6MW8d;One year;65.35;2018-06-01;;0
0298-XACET;Male;0;Yes;Yes;No;Mailed check;BVEb7TWdtT;Two year;50.2;2015-09-01;;0
0301-FIDRB;Female;0;Yes;Yes;Yes;Bank transfer (automatic);8DCvq7symT;Two year;63.8;2014-01-01;;0
0301-KOBTQ;Male;0;No;No;Yes;Bank transfer (automatic);3tvF2rqQmt;Two year;20.05;2017-05-01;;0
0302-JOIVN;Female;0;Yes;No;No;Electronic check;7B8LzrcEy3;Month-to-month;101.15;2019-11-01;2020-07-01;1
0303-UNCIP;Male;0;No;No;No;Mailed check;G34XfhVe5c;One year;65.0;2016-08-01;;0
0303-WMMRN;Male;0;No;No;Yes;Mailed check;HF7ZCXy2CH;Month-to-month;19.25;2019-08-01;;0
0305-SQECB;Female;0;No;Yes;Yes;Mailed check;J6zNDPdfHr;One year;36.05;2019-02-01;;0
0306-JAELE;Male;0;No;No;Yes;Electronic check;3srHE2yoFh;Month-to-month;96.1;2020-07-01;2020-12-01;1
0307-BCOPK;Female;0;No;No;No;Mailed check;FKNeKpjFhL;One year;19.05;2018-09-01;;0
0308-GIQJT;Male;1;No;No;No;Bank transfer (automatic);4o65VZCEkK;One year;105.75;2014-02-01;;0
0308-IVGOK;Female;0;No;No;Yes;Credit card (automatic);KvKDr5aDKZ;One year;40.4;2019-02-01;;0
0310-MVLET;Female;0;Yes;Yes;Yes;Electronic check;4bHATeuGLM;Month-to-month;99.15;2015-09-01;2020-10-01;1
0310-SUCIN;Female;0;Yes;No;Yes;Bank transfer (automatic);5NJuweZNyV;One year;84.8;2014-02-01;;0
0310-VQXAM;Male;0;No;No;No;Mailed check;3UsTt5zanm;Month-to-month;19.85;2019-04-01;;0
0311-QYWSS;Female;0;No;No;Yes;Electronic check;H57T9n6gKU;Month-to-month;49.45;2019-07-01;;0
0311-UNPFF;Female;0;No;No;Yes;Bank transfer (automatic);zdXhu9Yq2b;Month-to-month;88.8;2018-04-01;2020-06-01;1
0314-TKOSI;Female;0;No;No;No;Mailed check;35vJE8gXMq;Month-to-month;55.15;2019-07-01;;0
0315-LVCRK;Male;0;No;No;No;Electronic check;HhpHdrh8Nd;Month-to-month;84.8;2019-02-01;;0
0318-QUUOB;Male;0;Yes;No;Yes;Electronic check;8fgrcXfqJt;Month-to-month;80.55;2020-08-01;2020-09-01;1
0318-ZOPWS;Female;0;Yes;No;Yes;Bank transfer (automatic);EJEtyy8yGF;Two year;20.15;2015-12-01;;0
0319-QZTCO;Female;0;Yes;Yes;Yes;Credit card (automatic);AeFWBzVmkU;Month-to-month;58.7;2019-10-01;;0
0320-DWVTU;Female;0;No;No;No;Mailed check;BiLvM2ogcN;Two year;99.5;2015-08-01;;0
0320-JDNQG;Male;0;Yes;Yes;Yes;Electronic check;5TXKhcn5CY;Month-to-month;99.85;2018-06-01;2020-05-01;1
0322-CHQRU;Male;0;No;No;No;Electronic check;AC2LXzoU82;Month-to-month;45.35;2020-02-01;2020-04-01;1
0322-YINQP;Male;0;No;No;Yes;Mailed check;Bk3neriKjM;Month-to-month;48.55;2020-07-01;2020-08-01;1
0323-XWWTN;Male;0;No;Yes;Yes;Mailed check;Ad4sLYyvTE;Two year;26.4;2019-10-01;;0
0324-BRPCJ;Female;1;Yes;No;Yes;Electronic check;9vSPkqavYA;Month-to-month;100.2;2014-09-01;2020-05-01;1
0325-XBFAC;Male;0;No;No;Yes;Electronic check;7DLjjBdxV4;Month-to-month;94.7;2019-10-01;2020-06-01;1
0326-VDYXE;Female;0;Yes;No;Yes;Electronic check;EfhLpxb2aM;One year;97.65;2014-03-01;;0
0327-WFZSY;Male;0;Yes;Yes;No;Electronic check;6XvyixPF4K;One year;100.0;2016-10-01;;0
0328-GRPMV;Female;0;No;No;Yes;Electronic check;4rptnDrTXS;Month-to-month;70.1;2020-03-01;2020-04-01;1
0329-GTIAJ;Female;0;No;No;Yes;Electronic check;DacfCivWb7;Month-to-month;97.9;2019-10-01;2020-01-01;1
0330-BGYZE;Male;0;Yes;No;No;Bank transfer (automatic);CfsCJrnqJ3;One year;102.5;2015-01-01;;0
0330-IVZHA;Female;0;Yes;No;No;Electronic check;EB7VnJLx4S;Month-to-month;69.95;2019-10-01;2020-03-01;1
0334-GDDSO;Male;1;No;No;Yes;Electronic check;ETFpYHJSqg;Month-to-month;81.35;2020-04-01;2020-07-01;1
0334-ZFJSR;Female;0;Yes;No;Yes;Credit card (automatic);AsQ4TVKYRB;One year;66.05;2015-06-01;;0
0336-KXKFK;Male;0;No;No;Yes;Credit card (automatic);FiD6hBDtBm;Two year;61.2;2014-01-01;;0
0336-PIKEI;Male;1;Yes;No;No;Bank transfer (automatic);FxxmBSBRBa;Two year;74.4;2014-01-01;;0
